what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494047597622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494047620050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1494047624583
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1494047626488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1494047627822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1494047629366
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1494047631408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494047633313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494047694575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494047706797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494047843082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494047848490
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049352759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049373393
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049386679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049451481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049458973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1494049462111
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049463920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049475885
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049483256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049487678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1494049493088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049494360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049502404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1494049515642
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1494049519084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1494049534330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1494049536473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1494049548432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494049558232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494055167293
